"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"","","","","","","SER-FSDU-CFT-24F",242,0,1942
"","","","","","","SER-FSDU-CFT-48F",242,0,1942
"","GLU-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",247,0,2232
"","","","","","","SER-FSDU-CFT-12F",247,0,2232
"","","","","","","SER-FSDU-CFT-24F",247,0,2232
"","","","","","","SER-FSDU-CFT-48F",247,0,2232
"","GRZ-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",348,0,2808
"","","","","","","SER-FSDU-CFT-12F",348,0,2808
"","","","","","","SER-FSDU-CFT-24F",348,0,2808
"","","","","","","SER-FSDU-CFT-48F",348,0,2808
"","GVM-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",411,0,3344
"","","","","","","SER-FSDU-CFT-12F",411,0,3344
"","","","","","","SER-FSDU-CFT-24F",411,0,3344
"","","","","","","SER-FSDU-CFT-48F",411,0,3344
"","GZM-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",235,0,2040
"","","","","","","SER-FSDU-CFT-12F",235,0,2040
"","","","","","","SER-FSDU-CFT-24F",235,0,2040
"","","","","","","SER-FSDU-CFT-48F",235,0,2040
"","HAA-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",27,0,224
"","","","","","","SER-FSDU-CFT-12F",27,0,224
"","","","","","","SER-FSDU-CFT-24F",27,0,224
"","","","","","","SER-FSDU-CFT-48F",27,0,224
"","HBR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",375,0,3080
"","","","","","","SER-FSDU-CFT-12F",375,0,3080
"","","","","","","SER-FSDU-CFT-24F",375,0,3080
"","","","","","","SER-FSDU-CFT-48F",375,0,3080
"","HIS-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",226,0,2128
"","","","","","","SER-FSDU-CFT-12F",226,0,2128
"","","","","","","SER-FSDU-CFT-24F",226,0,2128
"","","","","","","SER-FSDU-CFT-48F",226,0,2128
"","HKB-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",352,0,3152
"","","","","","","SER-FSDU-CFT-12F",352,0,3152
"","","","","","","SER-FSDU-CFT-24F",352,0,3152
"","","","","","","SER-FSDU-CFT-48F",352,0,3152
"","HMM-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",300,0,2748
"","","","","","","SER-FSDU-CFT-12F",300,0,2748
"","","","","","","SER-FSDU-CFT-24F",300,0,2748
"","","","","","","SER-FSDU-CFT-48F",300,0,2748
"","HNR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",170,0,1648
"","","","","","","SER-FSDU-CFT-12F",170,0,1648
"","","","","","","SER-FSDU-CFT-24F",170,0,1648
"","","","","","","SER-FSDU-CFT-48F",170,0,1648
"","HRJ-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",323,0,2800
"","","","","","","SER-FSDU-CFT-12F",323,0,2800
"","","","","","","SER-FSDU-CFT-24F",323,0,2800
"","","","","","","SER-FSDU-CFT-48F",323,0,2800
"","HRR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",277,0,2216
"","","","","","","SER-FSDU-CFT-12F",277,0,2216
"","","","","","","SER-FSDU-CFT-24F",277,0,2216
"","","","","","","SER-FSDU-CFT-48F",277,0,2216
"","HRX-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",149,0,1392
"","","","","","","SER-FSDU-CFT-12F",149,0,1392
"","","","","","","SER-FSDU-CFT-24F",149,0,1392
"","","","","","","SER-FSDU-CFT-48F",149,0,1392
"","HSR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",350,0,3511
"","","","","","","SER-FSDU-CFT-12F",350,0,3511
"","","","","","","SER-FSDU-CFT-24F",350,0,3511
"","","","","","","SER-FSDU-CFT-48F",350,0,3511
"","HTR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",263,0,2152
"","","","","","","SER-FSDU-CFT-12F",263,0,2152
"","","","","","","SER-FSDU-CFT-24F",263,0,2152
"","","","","","","SER-FSDU-CFT-48F",263,0,2152
"","HYS-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",428,0,3766
"","","","","","","SER-FSDU-CFT-12F",428,0,3766
"","","","","","","SER-FSDU-CFT-24F",428,0,3766
"","","","","","","SER-FSDU-CFT-48F",428,0,3766
"","IDR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",319,0,3664
"","","","","","","SER-FSDU-CFT-12F",319,0,3664
"","","","","","","SER-FSDU-CFT-24F",319,0,3664
"","","","","","","SER-FSDU-CFT-48F",319,0,3664
"","IRD-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",91,0,744
"","","","","","","SER-FSDU-CFT-12F",91,0,744
"","","","","","","SER-FSDU-CFT-24F",91,0,744
"","","","","","","SER-FSDU-CFT-48F",91,0,744
"","JBN-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",71,0,656
"","","","","","","SER-FSDU-CFT-12F",71,0,656
"","","","","","","SER-FSDU-CFT-24F",71,0,656
"","","","","","","SER-FSDU-CFT-48F",71,0,656
"","JBV-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",105,0,840
"","","","","","","SER-FSDU-CFT-12F",105,0,840
"","","","","","","SER-FSDU-CFT-24F",105,0,840
"","","","","","","SER-FSDU-CFT-48F",105,0,840
"","JBW-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",140,0,1128
"","","","","","","SER-FSDU-CFT-12F",140,0,1128
"","","","","","","SER-FSDU-CFT-24F",140,0,1128
"","","","","","","SER-FSDU-CFT-48F",140,0,1128
"","JGP-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",167,0,1568
"","","","","","","SER-FSDU-CFT-12F",167,0,1568
"","","","","","","SER-FSDU-CFT-24F",167,0,1568
"","","","","","","SER-FSDU-CFT-48F",167,0,1568
"","JRN-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",649,0,5472
"","","","","","","SER-FSDU-CFT-12F",649,0,5472
"","","","","","","SER-FSDU-CFT-24F",649,0,5472
"","","","","","","SER-FSDU-CFT-48F",649,0,5472
"","JRO-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",492,0,4505
"","","","","","","SER-FSDU-CFT-12F",492,0,4505
"","","","","","","SER-FSDU-CFT-24F",492,0,4505
"","","","","","","SER-FSDU-CFT-48F",492,0,4505
"","JUP-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",235,0,2064
"","","","","","","SER-FSDU-CFT-12F",235,0,2064
"","","","","","","SER-FSDU-CFT-24F",235,0,2064
"","","","","","","SER-FSDU-CFT-48F",235,0,2064
"","JYU-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",85,0,922
"","","","","","","SER-FSDU-CFT-12F",85,0,922
"","","","","","","SER-FSDU-CFT-24F",85,0,922
"","","","","","","SER-FSDU-CFT-48F",85,0,922
"","KHR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",363,0,3064
"","","","","","","SER-FSDU-CFT-12F",363,0,3064
"","","","","","","SER-FSDU-CFT-24F",363,0,3064
"","","","","","","SER-FSDU-CFT-48F",363,0,3064
"","KKR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",292,0,2480
"","","","","","","SER-FSDU-CFT-12F",292,0,2480
"","","","","","","SER-FSDU-CFT-24F",292,0,2480
"","","","","","","SER-FSDU-CFT-48F",292,0,2480
"","KLT-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",311,0,2948
"","","","","","","SER-FSDU-CFT-12F",311,0,2948
"","","","","","","SER-FSDU-CFT-24F",311,0,2948
"","","","","","","SER-FSDU-CFT-48F",311,0,2948
"","KLU-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",191,0,1576
"","","","","","","SER-FSDU-CFT-12F",191,0,1576
"","","","","","","SER-FSDU-CFT-24F",191,0,1576
